 seedlen = 0 lowscore = 0
Mutation Data Matrix (120 PAMs)
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 8
Residue identity scores 10
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 0

100000 sequences to be read in length range 50 -> 500

Calculating peptide table based on length 6
Reading user file of seq.s: final.seq
 user_in = 1
End of user sequences
2985 sequences read into 2985 blocks, (2985 are keyed)


 ****** CYCLE 0 ******
Minimum score held = 20
Top 3 scores held per sequence
Sequences in the range 1<Dij<100 scored
Adjacent sequences scored with bonus of 10
33436 pairs collected
34752
 npairs = 34752
pre_order  npairs = 34752
 malloc OK
reorder  malloc OK done
preorder  new block mallock OK
cluster_pairs total list_alloc = 680
pack_lists 2884/2985 blocks moved

New sequence order is:
* Block 0 <=== 1	USER>SEED:>RF00004	  111   [+0+] 2lkr_A mol na length 111  RNA (111-MER)
* Block 1 <=== 46	USER>>BACA01000814.1/1116-1242	  127   [+0+] BACA01000814.1/1116-1242 Aspergillus sojae NBRC 4239 DNA, contig: contig00856.
* Block 2 <=== 137	USER>>CABT02001184.1/19-139	  121   [+0+] CABT02001184.1/19-139 Sordaria macrospora k-hell, WGS project CABT00000000 data, contig 2.1184
* Block 3 <=== 215	USER>>HE612869.1/252391-252284	  108   [+0+] HE612869.1/252391-252284 Tetrapisispora phaffii CBS 4417 chromosome 14, complete genome
* Block 4 <=== 208	USER>>CR380957.2/705528-705642	  115   [+0+] CR380957.2/705528-705642 Candida glabrata strain CBS138 chromosome K complete sequence.
* Block 5 <=== 213	USER>>ABPO01000339.1/991-879	  113   [+0+] ABPO01000339.1/991-879 Saccharomyces pastorianus Weihenstephan 34/70 Contig8.16, whole genome shotgun sequence.
* Block 6 <=== 210	USER>>AACH01002542.1/202-92	  111   [+1+] AACH01002542.1/202-92 Saccharomyces mikatae IFO 1815 YM4906-Contig164, whole genome shotgun sequence.
* Block 7 <=== 216	USER>>AEEZ01000007.1/37642-37530	  113   [+0+] AEEZ01000007.1/37642-37530 Saccharomyces cerevisiae FostersO chromosome II FOSTERSO_c2_7, whole genome shotgun sequence.
* Block 8 <=== 211	USER>>ADVS01000004.1/474016-473905	  112   [+30+] ADVS01000004.1/474016-473905 Saccharomyces cerevisiae AWRI796 chromosome II AWRI796_c2_4, whole genome shotgun sequence.
* Block 9 <=== 209	USER>>HE576759.1/255646-255756	  111   [+1+] HE576759.1/255646-255756 Naumovozyma castellii CBS 4309 complete genome, chromosome 8
* Block 10 <=== 212	USER>>AACG02000181.1/510-401	  110   [+1+] AACG02000181.1/510-401 Saccharomyces bayanus 623-6C YM4911-Contig02.486, whole genome shotgun sequence.
* Block 11 <=== 218	USER>>AACE03000009.1/583940-584058	  119   [+0+] AACE03000009.1/583940-584058 Lachancea kluyveri NRRL Y-12651 chromosome A SKLT-Cont10111, whole genome shotgun sequence.
* Block 12 <=== 206	USER>>CT928180.1/538100-538215	  116   [+0+] CT928180.1/538100-538215 Kluyveromyces thermotolerans strain CBS6340 chromosome H complete sequence.
* Block 13 <=== 150	USER>>AADM01000307.1/26094-25978	  117   [+0+] AADM01000307.1/26094-25978 Kluyveromyces waltii NCYC 2644 cont306, whole genome shotgun sequence.
* Block 14 <=== 204	USER>>CP002498.1/551518-551641	  124   [+0+] CP002498.1/551518-551641 Eremothecium cymbalariae DBVPG#7215 chromosome 2, complete sequence.
* Block 15 <=== 207	USER>>AEAV01000136.1/34345-34466	  122   [+0+] AEAV01000136.1/34345-34466 Kluyveromyces wickerhamii TCD 54-210 contig00142, whole genome shotgun sequence.
* Block 16 <=== 205	USER>>CR382126.1/991021-991134	  114   [+0+] CR382126.1/991021-991134 Kluyveromyces lactis strain NRRL Y-1140 chromosome F complete sequence.
* Block 17 <=== 203	USER>>AEAS01000083.1/14086-13974	  113   [+0+] AEAS01000083.1/14086-13974 Kluyveromyces aestuarii ATCC 18862 contig00087, whole genome shotgun sequence.
* Block 18 <=== 129	USER>>AAWZ02009891.1/88689-88806	  118   [+0+] AAWZ02009891.1/88689-88806 Anolis carolinensis chromosome 3 cont2.9890, whole genome shotgun sequence.
* Block 19 <=== 43	USER>>EF140887.1/1-133	  133   [+0+] EF140887.1/1-133 Bombyx mori T2 snRNA variant beta, partial sequence.
* Block 20 <=== 163	USER>>ABRM01191783.1/1116-1218	  103   [+0+] ABRM01191783.1/1116-1218 Hydra magnipapillata strain 105 ctg1101284655745, whole genome shotgun sequence.
* Block 21 <=== 139	USER>>ABRM01213539.1/109-1	  109   [+0+] ABRM01213539.1/109-1 Hydra magnipapillata strain 105 ctg1101284365531, whole genome shotgun sequence.
