 seedlen = 0 lowscore = 0
Mutation Data Matrix (120 PAMs)
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 8
Residue identity scores 10
ARNDCQEGHILKMFPSTWYVBZX
matrix constant = 0

100000 sequences to be read in length range 50 -> 500

Calculating peptide table based on length 6
Reading user file of seq.s: final.seq
 user_in = 1
End of user sequences
7150 sequences read into 7150 blocks, (7150 are keyed)


 ****** CYCLE 0 ******
Minimum score held = 20
Top 3 scores held per sequence
Sequences in the range 1<Dij<1000 scored
Adjacent sequences scored with bonus of 10
141196 pairs collected
144024
 npairs = 144024
pre_order  npairs = 144024
 malloc OK
reorder  malloc OK done
preorder  new block mallock OK
cluster_pairs total list_alloc = 1660
pack_lists 6982/7150 blocks moved

New sequence order is:
* Block 0 <=== 320	USER>>AACN010607701.1/895-1033	  139   [+0+] AACN010607701.1/895-1033 Canis familiaris ctg19866851718594, whole genome shotgun sequence.
* Block 1 <=== 580	USER>>AAEX03000148.1/674705-674894	  190   [+0+] AAEX03000148.1/674705-674894 Canis lupus familiaris cont3.148, whole genome shotgun sequence.
* Block 2 <=== 1	USER>>ABRN01206590.1/3887-4077	  191   [+0+] ABRN01206590.1/3887-4077 Tursiops truncatus cont1.206589, whole genome shotgun sequence.
* Block 3 <=== 102	USER>>CT655929.5/60476-60286	  191   [+0+] CT655929.5/60476-60286 Pig DNA sequence from clone CH242-315L17 on chromosome X
* Block 4 <=== 818	USER>>AGCE01042540.1/3455-3644	  190   [+0+] AGCE01042540.1/3455-3644 Saimiri boliviensis boliviensis contig042540, whole genome shotgun sequence.
* Block 5 <=== 500	USER>>ABDC01389237.1/72-262	  191   [+0+] ABDC01389237.1/72-262 Microcebus murinus cont1.389236, whole genome shotgun sequence.
* Block 6 <=== 501	USER>>AAIY01236123.1/341-154	  188   [+0+] AAIY01236123.1/341-154 Echinops telfairi cont1.236122, whole genome shotgun sequence.
* Block 7 <=== 106	USER>>ABRT010698642.1/507-695	  189   [+0+] ABRT010698642.1/507-695 Tarsius syrichta cont1.698641, whole genome shotgun sequence.
* Block 8 <=== 107	USER>>ABVD01271228.1/948-758	  191   [+2+] ABVD01271228.1/948-758 Choloepus hoffmanni cont1.271227, whole genome shotgun sequence.
* Block 9 <=== 154	USER>>ABRT010272385.1/1392-1577	  186   [+0+] ABRT010272385.1/1392-1577 Tarsius syrichta cont1.272384, whole genome shotgun sequence.
* Block 10 <=== 122	USER>>AAIY01099975.1/342-534	  193   [+0+] AAIY01099975.1/342-534 Echinops telfairi cont1.099974, whole genome shotgun sequence.
* Block 11 <=== 121	USER>>AAIY01127150.1/1315-1502	  188   [+0+] AAIY01127150.1/1315-1502 Echinops telfairi cont1.127149, whole genome shotgun sequence.
* Block 12 <=== 704	USER>>AEYP01103354.1/92040-91850	  191   [+0+] AEYP01103354.1/92040-91850 Mustela putorius furo contig103354, whole genome shotgun sequence.
* Block 13 <=== 914	USER>>ABRT010546481.1/712-522	  191   [+0+] ABRT010546481.1/712-522 Tarsius syrichta cont1.546480, whole genome shotgun sequence.
* Block 14 <=== 719	USER>>ABRT010033840.1/2590-2780	  191   [+0+] ABRT010033840.1/2590-2780 Tarsius syrichta cont1.33839, whole genome shotgun sequence.
* Block 15 <=== 103	USER>>AGTP01011401.1/9182-8999	  184   [+1+] AGTP01011401.1/9182-8999 Spermophilus tridecemlineatus contig011401, whole genome shotgun sequence.
* Block 16 <=== 511	USER>>ABRT010800062.1/470-660	  191   [+0+] ABRT010800062.1/470-660 Tarsius syrichta cont1.800061, whole genome shotgun sequence.
* Block 17 <=== 728	USER>>AAIY01193432.1/1278-1468	  191   [+0+] AAIY01193432.1/1278-1468 Echinops telfairi cont1.193431, whole genome shotgun sequence.
* Block 18 <=== 130	USER>>AAGW02049924.1/56264-56074	  191   [+7+] AAGW02049924.1/56264-56074 Oryctolagus cuniculus cont2.49923, whole genome shotgun sequence.
* Block 19 <=== 724	USER>>AAPY01039706.1/205-393	  189   [+0+] AAPY01039706.1/205-393 Tupaia belangeri cont1.039705, whole genome shotgun sequence.
* Block 20 <=== 105	USER>>CABD02151520.1/11900-12090	  191   [+17+] CABD02151520.1/11900-12090 Gorilla gorilla gorilla whole genome shotgun sequence assembly, chr17_36658498_1150659.23
